,0
0,https://www.proquest.com/usnews/docview/926342376/abstract/67F321E43F4B42F6PQ/1?accountid=13360
1,https://www.proquest.com/usnews/docview/434200788/abstract/67F321E43F4B42F6PQ/2?accountid=13360
2,https://www.proquest.com/usnews/docview/1753953731/abstract/67F321E43F4B42F6PQ/3?accountid=13360
3,https://www.proquest.com/usnews/docview/1037930188/abstract/67F321E43F4B42F6PQ/4?accountid=13360
4,https://www.proquest.com/usnews/docview/872525895/abstract/67F321E43F4B42F6PQ/5?accountid=13360
5,https://www.proquest.com/usnews/docview/1436439933/abstract/67F321E43F4B42F6PQ/6?accountid=13360
6,https://www.proquest.com/usnews/docview/1698477465/abstract/67F321E43F4B42F6PQ/7?accountid=13360
7,https://www.proquest.com/usnews/docview/753594976/abstract/67F321E43F4B42F6PQ/9?accountid=13360
8,https://www.proquest.com/usnews/docview/1674514393/abstract/67F321E43F4B42F6PQ/10?accountid=13360
9,https://www.proquest.com/usnews/docview/375793970/abstract/67F321E43F4B42F6PQ/11?accountid=13360
10,https://www.proquest.com/usnews/docview/1674514387/abstract/67F321E43F4B42F6PQ/12?accountid=13360
11,https://www.proquest.com/usnews/docview/1903914278/citation/67F321E43F4B42F6PQ/8?accountid=13360
